baba
lencsibaba
gülbaba
öltöztetőbaba
zaba
bába
csába
hiába
kába
zsába
abba
barkochba
csiba
hiba
liba
galiba
kaliba
zsiba
bamba
szamba
számba
himba
bomba
gomba
gévagomba
őzlábgomba
erjesztőgomba
likacsosgomba
katakomba
plomba
iromba
goromba
otromba
hekatomba
rumba
mikroba
szoba
ostoba
próba
találompróba
szakítópróba
összpróba
amőba
farba
csorba
sorba
buba
guba
suba
tuba
maca
paca
dulcsáca
pojáca
apáca
éca
galambica
tubica
cica
horcsica
drágica
mangalica
muslica
guzlica
gánica
parenyica
szopornyica
kupica
kukorica
matrica
patrica
kutrica
katica
sligovica
álca
pálca
lovaglópálca
tálca
kanca
tenyészkanca
farkinca
katrinca
targonca
rakonca
paszkonca
smonca
coca
koca
poca
kabóca
bicebóca
pióca
szakóca
barkóca
lóca
galóca
szamóca
bajnóca
kapca
bárca
tárca
orca
álorca
hercehurca
utca
térjmegutca
buca
cuca
puca
ruca
csacsacsa
kacsa
dácsa
pogácsa
brácsa
breccsa
picsa
tócsa
harcsa
szárcsa
tárcsa
furcsa
dada
ballada
armada
garmada
jeremiáda
dicsériáda
rátótiáda
láda
malterosláda
ciráda
tiráda
intráda
sztráda
száda
sváda
habda
labda
similabda
medicinlabda
röplabda
epeda
rezeda
céda
gléda
préda
csillagda
fogda
dzsida
gida
alkaloida
aszteroida
gepida
kariatida
druida
dravida
vajda
hizlalda
rivalda
példa
kukkolda
umbulda
tébolyda
nyomda
pénzjegynyomda
banda
handabanda
propaganda
panda
veranda
sanda
agenda
legenda
hacienda
válenda
árenda
gerenda
támgerenda
reverenda
remittenda
inda
konda
monda
mendemonda
ronda
szonda
bunda
décbunda
szekunda
rotunda
oda
laboda
csoda
goda
pagoda
vágoda
kaloda
szálloda
amoda
ugyanoda
tanoda
fonoda
éppoda
iroda
varroda
mosoda
uszoda
óvoda
óda
dióda
kóda
szóda
mosószóda
csapda
bombarda
garda
lovarda
csárda
dárda
gárda
járda
kokárda
dalárda
petárda
zárda
paniperda
szerda
hamvazószerda
verda
orda
borda
álborda
csorda
forda
horda
bútorda
jósda
cukrászda
csúszda
rázócsúszda
duda
áruda
krúda
gazda
orgazda
barázda
garázda
gizda
zúzda
rozsda
brindza
bodza
maharadzsa
rádzsa
bandzsa
halandzsa
lándzsa
findzsa
nindzsa
hodzsa
lodzsa
panácea
idea
orchidea
trófea
azálea
kámea
línea
pínea
gonorrhoea
spírea
tea
herbatea
gyógytea
fa
ujjafa
kafa
piszkafa
klafa
kínafa
parafa
satrafa
balsafa
tiszafa
bocfa
sörgyefa
sefűsefa
kalifa
hieroglifa
tarifa
tűzifa
tíkfa
alfa
sámfa
támfa
nimfa
ostorménfa
rénfa
kofa
pofa
akolófa
stoppolófa
strófa
katasztrófa
hajítófa
mintázófa
tömőfa
ültetőfa
hárfa
eolhárfa
ajtószárfa
csántérfa
turfa
hagyásfa
násfa
gyufa
tufa
zsufa
aga
malaga
maga
izgága
drága
nagysága
őméltósága
bodega
ómega
kolléga
stratéga
iga
csigabiga
csiga
búgócsiga
giga
liga
taliga
osztriga
guriga
tajga
alga
balga
belga
hallga
úrdolga
szolga
banga
canga
hanga
tanga
esztrenga
inga
pilinga
bringa
donga
doga
ekloga
rozoga
zsinagóga
jóga
tóga
varga
márga
spárga
sárga
eszterga
csorga
nyurga
buga
fuga
centrifuga
guga
zsuga
fúga
mézga
vizsga
záróvizsga
utóvizsga
pótvizsga
gyagya
alagya
ragya
trágya
hangya
kalangya
spongya
aszongya
pipogya
hebehurgya
ha
aha
haha
nyihaha
bruhaha
valaha
haláha
kaláha
oligarcha
patriarcha
exarcha
guttapercha
léha
néha
aligha
hogyha
ciha
piha
lajha
szajha
vajha
ejha
málha
pálha
bolha
kályha
jancsikályha
töltőkályha
hanemha
lomha
mindenha
lanyha
konyha
vegykonyha
lacikonyha
mosókonyha
dunyha
moha
noha
soha
mostoha
hóha
marha
bárha
akárha
irha
mirha
turha
hátha
nátha
mintha
pacuha
csuha
puha
ruha
álruha
egyenruha
játszóruha
viselőruha
hűha
tyűha
amfíbia
akríbia
fóbia
hidrofóbia
klausztrofóbia
szupremácia
diplomácia
grácia
bankokrácia
demokrácia
áldemokrácia
pszeudodemokrácia
technokrácia
bürokrácia
gerontokrácia
arisztokrácia
autokrácia
plutokrácia
pisztácia
prófécia
malícia
milícia
novícia
redundancia
konkordancia
extravagancia
elegancia
ambulancia
miskulancia
konszonancia
asszonancia
disszonancia
rezonancia
klapancia
garancia
protuberancia
tolerancia
intolerancia
francia
restancia
distancia
instancia
szubsztancia
licencia
lumineszcencia
reminiszcencia
kadencia
kádencia
evidencia
rezidencia
tendencia
korrespondencia
intelligencia
audiencia
excellencia
indolencia
virulencia
vehemencia
permanencia
eminencia
referencia
differencia
konferencia
interferencia
ingerencia
koherencia
reverencia
konkurencia
abszencia
eszencia
esszencia
kompetencia
penitencia
szentencia
potencia
impotencia
asszisztencia
rezisztencia
egzisztencia
konzisztencia
frekvencia
vivőfrekvencia
szekvencia
konzekvencia
elokvencia
paraszolvencia
prezencia
provincia
uncia
inercia
gledícsia
dia
csizmadia
ármádia
tragédia
média
komédia
tragikomédia
logopédia
enciklopédia
ortopédia
vídia
preparandia
melódia
palinódia
paródia
rapszódia
prozódia
fia
iafia
atyjafia
rafia
kalligráfia
kemigráfia
epigráfia
ideográfia
geográfia
paleográfia
koreográfia
biográfia
szociográfia
elektrokardiográfia
bibliográfia
lexikográfia
cinkográfia
enkefalográfia
metallográfia
krisztallográfia
demográfia
filmográfia
oceanográfia
ikonográfia
monográfia
pornográfia
etnográfia
tipográfia
topográfia
xerográfia
reprográfia
petrográfia
spektrográfia
kinematográfia
litográfia
piktográfia
fotográfia
kriptográfia
kartográfia
ortográfia
autográfia
diszgráfia
maffia
hazánkfia
uramfia
hazámfia
atrófia
hipertrófia
teozófia
filozófia
mágia
elégia
stratégia
neuralgia
nosztalgia
fringia
pedagógia
gyógypedagógia
demagógia
genealógia
analógia
mineralógia
tetralógia
trilógia
pedológia
indológia
metodológia
ideológia
geológia
hidrogeológia
archeológia
teleológia
neológia
gnoszeológia
teológia
frazeológia
grafológia
morfológia
geomorfológia
pszichológia
parapszichológia
szociálpszichológia
kriminálpszichológia
biológia
hidrobiológia
agrobiológia
mikrobiológia
szociológia
radiológia
kardiológia
embriológia
bakteriológia
fiziológia
farmakológia
ginekológia
mikológia
lexikológia
onkológia
ökológia
turkológia
ampelológia
filológia
etimológia
pomológia
entomológia
kozmológia
oceanológia
röntgenológia
fenomenológia
frenológia
technológia
biotechnológia
kriminológia
terminológia
endokrinológia
sinológia
bizantinológia
