english word,fijian word,pronouce,comments,AudioFile,AudioFileName
"Father's younger brother's wife","nana lailai",,,0,
"Mother's brother's wife","nei",,,0,
"Father's sister's husband","momo",,,0,
"Mother's elder sister's husband","tata levu",,,0,
"Mother's younger sister's husban","tata lailai",,,0,
"Father's father","bubu tagane",,,0,
"Father's mother","bubu yalewa",,,0,
"Mother's father","bubu tagane",,,0,
"Mother's mother","bubu yalewa",,,0,
"Son","luvequ tagane",,,0,
"Daughter","luvequ yalewa",,,0,
"Brother's son","vugoqu tagane",,,0,
"Brother's daughter","vugoqu yalewa",,,0,
"Sister's son","luvequ tagane",,,0,
"Sister's daughter","luvequ yalewa",,,0,
"Son's son","makubuqu tagane",,,0,
"Son's daughter","makubuqu yalewa",,,0,
"Daughter's son","makubuq tagane",,,0,
"Daughter's daughter","makubuqu yalewa",,,0,
"Wife","watiqu",,,0,
"Husband","daulomani",,,0,
"Husband's brother","noqu daku tagane",,,0,
"Husband's sister","noqu daku yalewa",,,0,
"Wife's brother","tavalequ tagane",,,0,
"Wife's sister","tavalequ yalewa",,,0,
"Husband's brother's wife","karua",,,0,
"Wife's sister's husband","karua",,,0,
"Husband's sister's husband","noqu veitabuki tagane",,,0,
"Wife's brother's wife","noqu veitabuki yalewa",,,0,
"Husband's father","nabugoqu tagane",,,0,
"Husband's mother","nabugoqu yalewa",,,0,
"plantain, banana","vudi",,"cooking banana",0,
"abroad","mai valagi","mai vaalangi",,0,
"accommodation","otela, icili","ootela",,0,
"addicted to kava","daugunuyaqona",,"manamanayagona",0,
"adventure","ilakolako talei",,,0,
"agree","duavata, vakadonuya",,,0,
"air conditioned","vakabatabatataki","vakambatambataataki",,0,
"Hello","bula!","mbula",,0,
"Village","koro","kohroh",,0,
"Mister","turaga","turangah",,0,
"Little","vaka lailai","vahkah lie lie",,0,
"Quickly","vaka totolo","vahkah toe toe lo",,0,
"Come","lako mai","la ko my",,0,
"One more","dua tale","ndooah tahley",,0,
"What is this","na cava oqo","na thava on go",,0,
"Earth Oven","lovo","loh-voh",,0,
"clear (results)","macala",,,0,
"clear (understood)","matata",,,0,
"Marker for proper nouns (ko)","o",,,0,
"not","sega ni",,,0,
"slowly","vaka-malua",,,0,
"speak, talk, word, language","vosa",,,0,
"weather","draki",,,0,
"student","gone vuli",,,0,
"school teacher","qase ni vuli",,,0,
"coconut tree","vu ni niu",,,0,
"long (time)","dede",,,0,
"path, track, road","sala, gaunisala",,,0,
"waste time (hit the day)","moku siga",,,0,
"swim","qalo",,,0,
"walk, stroll","taubale",,,0,
"Sarong","sulu","ss-loo",,0,
"2nd person singular","iko",,,0,
"empty","galala",,,0,
"land, place","vanua",,,0,
"a, an","e dua na",,"one of",0,
"abandon","biu-ta",,"lai-va vakadua",0,
"camp (v)","vakavalelaca, keba",,,0,
"Wife's father","nabugoqu tagane",,,0,
"Wife's mother","nabugoqu yalewa",,,0,
"Husband's father's brother","momo",,,0,
"Wife's father's brother","momo",,,0,
"Husband's father's sister","nei",,,0,
"Wife's father's sister","nei",,,0,
"Husband's mother's brother","momo",,,0,
"Wife's mother's brother","momo",,,0,
"Husband's mother's sister","nei",,,0,
"Wife's mother's sister","nei",,,0,
"twenty","ruasagavulu",,,0,
"abase","vakaisi-na",,,0,
"abased","sa vakaisini",,,0,
"abash","vakamadua-taka",,,0,
"abate","vakalailai-taka",,,0,
"abbreviate","vakalekaleka-taka",,,0,
"abdomen","kete-na",,"boto ni kete-na",0,
"abduct","lawa-vaka",,"vakabaca-na",0,
"abet","vuke-a",,"too-taka",0,
"abeyance","tei tuu",,,0,
"abhor","ca-ta",,,0,
"abhorrent","ca-ti",,"vakasisilataki",0,
"ability","vuku",,"rawa kaa",0,
"abject","vakaloloma",,"lomani; dawai",0,
"ablaze","kama tiko",,,0,
"sit down","dabe",,,0,
"seat","dabedabe",,"chair",0,
"beautiful","rairai",,"looks good",0,
"swimming place","vanua ni sisili",,,0,
"coconut","bu",,"green coconut (drinking)",0,
"bed","loga ni moce",,,0,
"shoe, sandal","vava",,,0,
"Caucasian","vavalagi",,"also valagi",0,
"island","yanuyanu",,,0,
"Coast","baravi",,,0,
"Chest","sere",,,0,
"Kava-bowl","tanoa",,,0,
"Fly","laga",,,0,
"Coral","lase",,,0,
"Beam","soko",,,0,
"Well","mataniwai",,,0,
"Beg, to","kerekere",,,0,
"all","kece, taucoko",,,0,
"at","e, mai",,,0,
"back","daku, i muri",,,0,
"bashful","madua",,,0,
"behind","e muri",,,0,
"cattle","bulu.makau",,,0,
"clean","savata",,,0,
"close (v.)","sogota",,,0,
"cook","vaka.saqa",,,0,
"cow","bulu.makau",,,0,
"dance","tara.lala, danisi",,,0,
"down","ra",,,0,
"drive","draiva",,,0,
"earth","qele",,,0,
"empty","maca, lala",,,0,
"err","cala",,,0,
"evening","yakavi",,,0,
"fall (rain)","tau",,,0,
"feet (meas.)","foot",,,0,
"fish (n.)","ika",,,0,
"fly (v.)","vuka",,,0,
"forest","vei.kau",,,0,
"full","mamau",,,0,
"government","mata.nitu",,,0,
"happen","yaco",,,0,
"he","koya",,,0,
"help","vei.vuke",,,0,
"hope","nui.taka",,,0,
"how?","vaka.cava",,,0,
"if","ke, kevaka",,,0,
"kill","vaka.matea",,,0,
"marriage","vaka.mau",,,0,
"meaning","ibale.bale",,,0,
"dry","maca",,,0,
"fence","ba",,,0,
"cheap","saulailai, saurawarawa",,,0,
"three","tolu",,,1,"tolu.mp3"
"small","lailai",,,1,"lailai.mp3"
"mat","ibe",,,1,"ibe.mp3"
"cold, coolness","batabata",,,1,"batabata.mp3"
"bad, evil, ruin","ca",,,1,"ca.mp3"
"one, or a in front of nouns","dua",,,1,"dua.mp3"
"hot, feverish","katakata",,,1,"katakata.mp3"
"true, genuine, sincere","dina",,,1,"dina.mp3"
"Good Morning","ni sa yadra","ni sah yan-dra",,0,
"Goodbye","ni sa moce","ni sa mothey",,0,
"Thank You","vinaka","vee-naka",,0,
"Lady","marama","mahrahmah",,0,
"Plenty","vaka levu","vahkah lay voo",,0,
"House","vale/bure","vahley/mburey",,0,
"Toilet","vale/lailai","vahley lie lie",,0,
"Go away","lako tani","la ko tanee",,0,
"Bring","kauta mai","ka ou tah my",,0,
"One","dua","ndoo ah",,0,
"Church","vale ni lotu","vahley nee lohtoo",,0,
"Sugar cane","dovu","doh voo",,0,
"Shop","sitoa","seetoah",,0,
"marker for common nouns","a",,,0,
"first person singular, ""I""","au",,,0,
"life, healthy","bula",,,0,
"good day, hello","sa bula",,,0,
"work","cakacaka",,,0,
"what, which","cava",,,0,
"first person dual inclusive, us","daru",,,0,
"right, correct, straight","dodonu",,,0,
"he she it, in at","e",,,0,
"know","kila",,,0,
"that, there","koya, oya",,,0,
"market","makete",,,0,
"i first","matai",,,0,
"sleep, goodbye","moce",,,0,
"marker for common nouns","na",,,0,
"2nd person plural (oni)","ni",,,0,
"contraction of ko i au","oiau",,,0,
"1st person singular","qu",,,0,
"verbal particle","sa",,,0,
"sir, madam","saka",,,0,
"again","tale",,,0,
"chief or gentleman","turaga",,,0,
"causative adverb prefix","vaka",,,0,
"English","vaka-valagi",,,0,
"Fijian","vaka-viti",,,0,
"pardon me","vositi au",,,0,
"name","yaca",,,0,
"youth","cauravou",,,0,
"expert","dau",,,0,
"farmer","dau teitei",,,0,
"fisherman","gone dau",,,0,
"3rd person plural","ira",,,0,
"wood, stick, tree","kau",,,0,
"3rd person singular, ""he"", ""she""","koya",,,0,
"3rd person singular","na",,,0,
"here, this","oqo",,,0,
"there, that","oqori",,,0,
"old person","qase",,,0,
"sacred, forbidden","tabu",,,0,
"man","tagane",,,0,
"person","tamata",,,0,
"church building","vale tabu",,,0,
"source, root","vu",,,0,
"learn","vuli",,,0,
"woman","yalewa",,,0,
"night","bogi",,,0,
"meeting","bose",,,0,
"dark","buto",,,0,
"do, make work","cakava",,,0,
"sharp","gata",,,0,
"food","kakana",,,0,
"there","kea, keya",,,0,
"sing","laga sere",,,0,
"old","makawa",,,0,
"hit (usually with a stick)","moku",,,0,
"spear","moto",,,0,
"car (Eng.)","motoka",,,0,
"pen (Eng.)","peni",,,0,
"play, recreate","qito",,,0,
"fish with nets","qoli",,,0,
"fish with line","siwa",,,0,
"shirt","sote",,,0,
"pastor","alatala",,,0,
"trousers (Eng.)","tarausese",,,0,
"sit","tiko, dabe",,"remain, be in a plac",0,
"rest, retire","vake-cegu",,,0,
"restaurant","vale ni kana",,,0,
"kitchen, cooking house","vale ni kuro",,,0,
"yaqona-drinking house","vale ni yaqona",,,0,
"dress","vinivo",,"(Eng. pinafore)",0,
"letter, book","vola",,,0,
"year","yabaki",,,0,
"distant","yawa",,,0,
"Cloud","ou",,,0,
"Bay","toba",,,0,
"Wave","biau",,,0,
"Nose","ueu",,,0,
"Tongue","yame",,,0,
"Mammae","sucuna",,,0,
"Fowl","toa",,,0,
"Yam","uvi",,,0,
"Chestnut","ivi",,,0,
"Chew, to","mama",,,0,
"Owl","lulu",,,0,
"Lobster","urou",,,0,
"Mosquito","namu",,,0,
"Bail, to","nima",,,0,
"Sail","laea",,,0,
"Knife","sele",,,0,
"Spear","motu",,,0,
"Lock of hair of virginity","taube",,,0,
"Dance","meki",,,0,
"God","kalou",,,0,
"Spirit","kalou",,,0,
"No","segai",,,0,
"above","dela",,,0,
"and","kei, ka, ia",,,0,
"angry","cudru",,,0,
"honorific prefix (woman)","adi",,,0,
"bay","toba",,,0,
"ask","taro-ga",,,0,
"away","yani, tani",,,0,
"banana","jaina",,,0,
"bar","vale ni yaqona",,,0,
"bark","kuli",,,0,
"basket","kato",,,0,
"beautiful","totoka",,,0,
"beer","bia",,,0,
"board (ship)","vodo",,,0,
"boiled","saqa",,,0,
"book","ivola",,,0,
"box","kato",,,0,
"bread","madrai",,,0,
"carpenter","matai, mataisau",,,0,
"cent","sede",,,0,
"center","loma",,,0,
"child","gone",,,0,
"citrus","moli",,,0,
"climb","kabata",,,0,
"clock","kaloko",,,0,
"clothes","isulu",,,0,
"correct","dodonu",,,0,
"cost","isau",,,0,
"count","wilika",,,0,
"cry","tagica",,,0,
"cup","bilo",,,0,
"die","mate",,,0,
"differently","dui",,,0,
"difficult","dredre",,,0,
"dinner","vaka.yakavi",,,0,
"dirty","duka",,,0,
"disease","mate",,,0,
"doctor","vuniwai",,,0,
"dog","koli",,,0,
"don't","kakua",,,0,
"drink","gunuva",,,0,
"driver","draiva",,,0,
"each","dui",,,0,
"ear","daliga",,,0,
"easy","rawa.rawa",,,0,
"enter","curu",,,0,
"equal","tau.tau.vata",,,0,
"even","tau.tau.vata",,,0,
"eye","mata",,,0,
"face","mata",,,0,
"far","yawa",,,0,
"farm","itei.tei",,,0,
"father","tama",,,0,
"find","kunea",,,0,
"finished","oti",,,0,
"first","ima.tai",,,0,
"fish (v.)","siwa, qoli",,,0,
"for","ni",,,0,
"foot","yava",,,0,
"forbidden","tabu",,,0,
"friend","itau",,,0,
"friends","vei.tau",,,0,
"fruit","vua",,,0,
"genuine","dina",,,0,
"give","solia",,,0,
"greatly","vaka.levu, sara",,,0,
"hair","drau ni ulu",,,0,
"half","veimama",,,0,
"hand","liga",,,0,
"handshake","lululu",,,0,
"handsome","totoka",,,0,
"happy","marau",,,0,
"hard","kau.kaua",,,0,
"healthy","bulu",,,0,
"hear","rogoca",,,0,
"herald","mata ni vanua",,,0,
"here","ke, oqo",,,0,
"horse","ose",,,0,
"hotel","otela",,,0,
"hour","aua",,,0,
"how about?","vaka.evei",,,0,
"I","au",,,0,
"ill","tauvi.mate",,,0,
"in","e",,,0,
"in order to","me",,,0,
"inhabitant of","kai",,,0,
"just","ga",,,0,
"knife","isele",,,0,
"lamp","cina",,,0,
"mango","maqo",,,0,
"many","vuqa",,,0,
"matches","masese",,,0,
"mature","matua",,,0,
"mile","maile",,,0,
"minute","miniti",,,0,
"money","ilavo",,,0,
"mother","tina",,,0,
"mount (v.)","vodo",,,0,
"mouth","gusu",,,0,
"new","vou",,,0,
"news","ituku.tuku",,,0,
"noon","siga.levu",,,0,
"nose","ucu",,,0,
"of","ni, nei",,,0,
"office","vale ni vola.vola",,,0,
"open","dolava",,,0,
"or","se",,,0,
"outside","tuba",,,0,
"papaya","weleti",,,0,
"past tense","a",,,0,
"payment","isau",,,0,
